Date,Billing Period Start,Billing Period End,Payment Duration,Shop Name,Shop Domain,Shop Email,Shop Country,Details,Charge Type,Partner Sale,Shopify Fee,Processing Fee,Regulatory Operating Fee,Partner Share,Charge ID,Partner Sale Currency,Partner Sale In Payout Currency,Payout Currency
2025-04-09 01:46:06 UTC,2025-02-04 00:00:00 UTC,2025-03-06 00:00:00 UTC,"December 16, 2024 - May 16, 2025",THREADCURRY,threadcurry.myshopify.com,sales@threadcurry.com,IN,Growth Plan,App sale – 30-day subscription,431.84,0.0,0.15,0.0,4.87,gid://shopify/AppSubscription/34223194385,INR,5.02,USD
2025-03-18 06:35:50 UTC,2025-02-24 00:00:00 UTC,2025-03-26 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,jesse@ninthcompany.com,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,4.86,gid://shopify/AppSubscription/25896583212,CAD,5.01,USD
2025-03-16 08:34:34 UTC,2025-02-26 00:00:00 UTC,2025-03-28 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.15,0.0,4.85,gid://shopify/AppSubscription/48913121593,CAD,5.0,USD
2025-02-18 07:51:04 UTC,2025-02-04 00:00:00 UTC,2025-03-06 00:00:00 UTC,"December 16, 2024 - May 16, 2025",SellBuddy,10ec6d.myshopify.com,help@sell-buddy.com,US,Basic Plan,App sale – 30-day subscription,1.0,0.0,0.03,0.0,0.97,gid://shopify/AppSubscription/37010866479,USD,1.0,USD
2025-02-16 06:33:25 UTC,2025-01-25 00:00:00 UTC,2025-02-24 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,jesse@ninthcompany.com,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,4.93,gid://shopify/AppSubscription/25896583212,CAD,5.08,USD
2025-02-04 16:06:09 UTC,,,"December 16, 2024 - May 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,jesse@ninthcompany.com,CA,,App credit,-15.0,0.0,0.0,0.0,-15.0,,USD,-15.0,USD
2025-02-01 20:55:00 UTC,,,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,,App downgrade,-0.38,0.0,0.0,0.0,-0.26,,CAD,-0.26,USD
2025-02-01 19:19:29 UTC,2025-01-25 00:00:00 UTC,2025-01-27 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,0.38,0.0,0.01,0.0,0.25,gid://shopify/AppSubscription/48913121593,CAD,0.26,USD
2025-02-01 19:19:29 UTC,2025-01-27 00:00:00 UTC,2025-02-26 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.14,0.0,4.79,gid://shopify/AppSubscription/48913121593,CAD,4.93,USD
2025-02-01 19:19:29 UTC,2025-01-16 00:00:00 UTC,2025-01-27 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,2.13,0.0,0.04,0.0,1.43,gid://shopify/AppSubscription/42459463993,CAD,1.47,USD
2025-01-15 07:50:18 UTC,2024-12-28 00:00:00 UTC,2025-01-27 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Basic Plan,App sale – 30-day subscription,1.4,0.0,0.03,0.0,0.94,gid://shopify/AppSubscription/34154250553,CAD,0.97,USD
2024-12-16 08:49:01 UTC,2024-11-28 00:00:00 UTC,2024-12-28 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Basic Plan,App sale – 30-day subscription,1.4,0.0,0.03,0.0,0.95,gid://shopify/AppSubscription/34154250553,CAD,0.98,USD
